iter	Logloss
0	0.5414025263
1	0.4313745251
2	0.3532749352
3	0.298230249
4	0.2579213621
5	0.2295719751
6	0.2082036584
7	0.1918757443
8	0.1799365229
9	0.1703959678
10	0.1625282081
11	0.1569466307
12	0.1522731673
13	0.1481321339
14	0.1448860921
15	0.1422231342
16	0.1400781088
17	0.1381933507
18	0.136477573
19	0.1349491303
20	0.1338338831
21	0.1327640898
22	0.1316854601
23	0.130826845
24	0.1301291708
25	0.1294644649
26	0.1288771561
27	0.128406813
28	0.1278599669
29	0.1272941861
30	0.1267196383
31	0.1261973333
32	0.1257696037
33	0.1255386345
34	0.1251193463
35	0.1247890279
36	0.1246236447
37	0.1244300224
38	0.124111591
39	0.1238398773
40	0.1235435438
41	0.1233222319
42	0.1232404229
43	0.123040223
44	0.122944263
45	0.1228578972
46	0.1227512199
47	0.1226026665
48	0.1224720715
49	0.1223412659
50	0.1222376019
51	0.1220822426
52	0.1219423813
53	0.1218348954
54	0.1217083577
55	0.121613571
56	0.1214192005
57	0.1213365512
58	0.1212914762
59	0.1212495391
60	0.1212090081
61	0.1210490751
62	0.121017466
63	0.1209779292
64	0.1209221739
65	0.1208429367
66	0.120702851
67	0.120586729
68	0.1204858442
69	0.1203576661
70	0.1202994919
71	0.1202733617
72	0.120218059
73	0.1201543609
74	0.1201184104
75	0.1200604351
76	0.1200448767
77	0.1199699153
78	0.1199288283
79	0.1198944152
80	0.1198385211
81	0.119783534
82	0.1197308221
83	0.1196854036
84	0.119603224
85	0.1195616141
86	0.1195253309
87	0.1194216614
88	0.119357795
89	0.1193145428
90	0.1193055232
91	0.1192586422
92	0.1192341655
93	0.1192037492
94	0.1191172639
95	0.1190931002
96	0.1190796849
97	0.119026073
98	0.1189847616
99	0.118889801
100	0.1188845467
101	0.1188753745
102	0.1188471633
103	0.1188267486
104	0.1188182241
105	0.1187937279
106	0.1187702274
107	0.1187386316
108	0.1186949154
109	0.1186407311
110	0.1185890997
111	0.1185663331
112	0.1185435056
113	0.1185140237
114	0.1185087605
115	0.1184654055
116	0.1184314433
117	0.11841105
118	0.1184009285
119	0.1183804866
120	0.1183613885
121	0.1182666026
122	0.1181691244
123	0.118140174
124	0.1181187515
125	0.1180747539
126	0.1180629222
127	0.1180166202
128	0.1179941354
129	0.1179749517
130	0.1179541178
131	0.1179068515
132	0.1179001613
133	0.1178606334
134	0.1178430873
135	0.1178145299
136	0.1177647585
137	0.1176914811
138	0.117674721
139	0.117666347
140	0.1176597891
141	0.1176577361
142	0.1176488009
143	0.1175980758
144	0.1175406116
145	0.1175285898
146	0.1175171798
147	0.1174918907
148	0.1174725668
149	0.1174537267
150	0.1174468096
151	0.1173669549
152	0.117347541
153	0.1173379923
154	0.1173304856
155	0.1173164414
156	0.1172988972
157	0.1172648073
158	0.1172598534
159	0.1172314431
160	0.1172187625
161	0.117209621
162	0.1171798553
163	0.1171716542
164	0.1171665707
165	0.1171265957
166	0.1171115709
167	0.1170981461
168	0.1170904566
169	0.1170406169
170	0.1170303056
171	0.1169803342
172	0.1169414095
173	0.1169302312
174	0.1169161574
175	0.1168446133
176	0.1168115198
177	0.1167649094
178	0.1167559888
179	0.1167233163
180	0.1167062743
181	0.1167000568
182	0.1166888645
183	0.1166777109
184	0.1166454111
185	0.1165780366
186	0.1165647854
187	0.1165559224
188	0.1165223676
189	0.1164890169
190	0.1164827978
191	0.1164748605
192	0.1164665131
193	0.1164586943
194	0.1164218973
195	0.1164150738
196	0.1163946588
197	0.1163474267
198	0.1163367931
199	0.1163368126
200	0.1163310614
201	0.1163256728
202	0.1163157448
203	0.1163079579
204	0.1162695809
205	0.1162694679
206	0.1162573087
207	0.11623259
208	0.1162237935
209	0.1162188112
210	0.1162089206
211	0.1161791111
212	0.1161723132
213	0.1161430551
214	0.1161216429
215	0.1160830191
216	0.1160758148
217	0.116068146
218	0.1160617859
219	0.116058424
220	0.1160466638
221	0.1160424039
222	0.1160196274
223	0.1160068722
224	0.1160007572
225	0.115977815
226	0.1159744904
227	0.1159639356
228	0.1159604814
229	0.1159354552
230	0.1158851517
231	0.1158826364
232	0.1158786494
233	0.1158650811
234	0.1158623395
235	0.115851921
236	0.1158485227
237	0.1158420804
238	0.1158379461
239	0.1158307167
240	0.1158282536
241	0.1158219055
242	0.1157955676
243	0.1157870072
244	0.1157748992
245	0.1157717197
246	0.1157685906
247	0.1157611739
248	0.1157574937
249	0.1157518937
250	0.1157399727
251	0.1157283523
252	0.1157261721
253	0.1157230883
254	0.1156889578
255	0.1156798306
256	0.1156768326
257	0.11567317
258	0.1156711122
259	0.1156686142
260	0.1156643177
261	0.115659686
262	0.1156375459
263	0.1156316942
264	0.1156033842
265	0.1156010723
266	0.1155929973
267	0.1155891827
268	0.1155863576
269	0.1155804532
270	0.1155749367
271	0.1155723602
272	0.1155666595
273	0.1155463716
274	0.1155446633
275	0.1155424939
276	0.11554045
277	0.1155378074
278	0.1154997475
279	0.1154979233
280	0.1154910263
281	0.1154895163
282	0.11548786
283	0.1154724864
284	0.1154715588
285	0.1154701858
286	0.1154676813
287	0.1154574076
288	0.1154411005
289	0.1154219801
290	0.1154184079
291	0.1154146039
292	0.1154097085
293	0.1153825653
294	0.1153795225
295	0.11537758
296	0.1153659367
297	0.1153647914
298	0.1153584217
299	0.1153542975
300	0.1153523766
301	0.1153499661
302	0.1153497714
303	0.1153462016
304	0.1153258924
305	0.115324371
306	0.1153187593
307	0.1153166537
308	0.11531266
309	0.1152970584
310	0.1152960176
311	0.1152933721
312	0.1152912023
313	0.1152730943
314	0.1152556148
315	0.115252886
316	0.1152483643
317	0.1152472398
318	0.1152394289
319	0.1152371138
320	0.1152277205
321	0.1152236046
322	0.1152184543
323	0.1152164302
324	0.1152085377
325	0.1152060301
326	0.1152020214
327	0.1151896367
328	0.1151873872
329	0.1151432634
330	0.1151329124
331	0.1151231494
332	0.1151203881
333	0.1151148799
334	0.1150998341
335	0.1150866742
336	0.115046708
337	0.115012087
338	0.1150094375
339	0.1149890478
340	0.1149884403
341	0.1149579398
342	0.1149566146
343	0.1149485413
344	0.1149469918
345	0.1149463777
346	0.1149446566
347	0.1149270435
348	0.1149236471
349	0.1149214891
350	0.1149184445
351	0.1149161367
352	0.114911805
353	0.114907398
354	0.1149035465
355	0.1149003654
356	0.1148995623
357	0.1148976148
358	0.1148864651
359	0.1148838084
360	0.1148813045
361	0.1148717861
362	0.1148699466
363	0.1148699784
364	0.1148679879
365	0.1148664731
366	0.1148664997
367	0.1148513066
368	0.1148493706
369	0.1148468256
370	0.1148445694
371	0.1148419494
372	0.1148408015
373	0.1148402065
374	0.1148387304
375	0.1148387878
376	0.1148385331
377	0.1148362766
378	0.1148356091
379	0.1148315225
380	0.1148291092
381	0.1148247442
382	0.114824713
383	0.1148241422
384	0.1148210098
385	0.1148202326
386	0.1148179157
387	0.1148179837
388	0.1148163208
389	0.1148145194
390	0.1148138799
391	0.1148130938
392	0.1148032654
393	0.1147963548
394	0.1147880238
395	0.1147860495
396	0.114785371
397	0.1147841698
398	0.1147828448
399	0.114781662
400	0.1147542038
401	0.1147532096
402	0.1147499855
403	0.1147463182
404	0.114744879
405	0.1147361797
406	0.1147314967
407	0.1147297962
408	0.1147289599
409	0.1147270899
410	0.1147213205
411	0.1147194787
412	0.114717794
413	0.1147172108
