iter	Passed	Remaining
0	25	25164
1	37	18802
2	45	15061
3	52	13172
4	60	12012
5	67	11133
6	74	10531
7	81	10119
8	88	9790
9	96	9576
10	104	9368
11	111	9192
12	119	9041
13	126	8919
14	134	8846
15	153	9409
16	160	9278
17	167	9153
18	174	9020
19	181	8916
20	188	8803
21	196	8734
22	203	8633
23	210	8564
24	217	8488
25	224	8427
26	232	8391
27	239	8323
28	246	8246
29	253	8186
30	260	8134
31	267	8087
32	274	8045
33	281	7992
34	287	7932
35	294	7887
36	301	7852
37	308	7811
38	315	7769
39	322	7737
40	329	7697
41	335	7659
42	343	7639
43	350	7609
44	357	7576
45	363	7546
46	370	7516
47	377	7490
48	385	7472
49	392	7453
50	399	7432
51	406	7411
52	413	7393
53	421	7392
54	429	7379
55	436	7357
56	443	7344
57	451	7335
58	459	7324
59	466	7307
60	473	7287
61	480	7272
62	487	7252
63	494	7238
64	502	7223
65	509	7208
66	516	7198
67	524	7182
68	531	7164
69	538	7150
70	545	7142
71	552	7123
72	559	7111
73	567	7096
74	574	7079
75	581	7071
76	588	7058
77	596	7045
78	602	7028
79	609	7014
80	617	7002
81	624	6986
82	631	6978
83	639	6973
84	647	6968
85	655	6970
86	663	6966
87	671	6959
88	679	6954
89	686	6938
90	692	6921
91	699	6907
92	707	6895
93	714	6884
94	721	6874
95	728	6861
96	735	6851
97	742	6837
98	749	6824
99	757	6814
100	763	6793
101	770	6782
102	777	6771
103	784	6755
104	791	6749
105	798	6737
106	806	6727
107	812	6714
108	819	6701
109	826	6689
110	833	6674
111	840	6663
112	847	6650
113	854	6639
114	861	6630
115	868	6616
116	874	6603
117	881	6591
118	888	6580
119	896	6572
120	903	6562
121	910	6551
122	917	6541
123	924	6531
124	931	6523
125	939	6520
126	947	6516
127	954	6502
128	962	6495
129	970	6496
130	978	6493
131	986	6485
132	994	6483
133	1003	6483
134	1012	6485
135	1021	6486
136	1029	6485
137	1037	6482
138	1046	6482
139	1054	6475
140	1060	6461
141	1068	6454
142	1076	6451
143	1084	6448
144	1092	6442
145	1100	6435
146	1107	6428
147	1114	6418
148	1122	6412
149	1130	6407
150	1138	6402
151	1146	6394
152	1154	6390
153	1161	6381
154	1168	6369
155	1176	6365
156	1184	6360
157	1192	6353
158	1200	6347
159	1207	6336
160	1223	6374
161	1248	6458
162	1260	6472
163	1268	6463
164	1274	6452
165	1282	6441
166	1289	6430
167	1296	6419
168	1303	6410
169	1310	6399
170	1317	6389
171	1325	6380
172	1332	6370
173	1339	6358
174	1346	6347
175	1353	6336
176	1360	6324
177	1367	6314
178	1373	6301
179	1380	6290
180	1387	6280
181	1394	6269
182	1402	6261
183	1409	6248
184	1416	6238
185	1423	6228
186	1430	6217
187	1436	6205
188	1443	6193
189	1450	6182
190	1456	6169
191	1463	6157
192	1470	6147
193	1477	6136
194	1483	6125
195	1490	6113
196	1497	6103
197	1504	6093
198	1511	6083
199	1516	6064
200	1523	6054
201	1530	6047
202	1537	6036
203	1544	6027
204	1552	6020
205	1556	6000
206	1563	5990
207	1570	5979
208	1577	5970
209	1584	5961
210	1591	5952
211	1598	5941
212	1605	5932
213	1612	5921
214	1618	5910
215	1625	5900
216	1632	5891
217	1639	5882
218	1646	5871
219	1652	5860
220	1659	5850
221	1666	5841
222	1673	5831
223	1680	5821
224	1687	5811
225	1692	5798
226	1699	5788
227	1706	5778
228	1713	5767
229	1719	5758
230	1727	5749
231	1732	5736
232	1739	5724
233	1746	5715
234	1752	5705
235	1759	5696
236	1766	5688
237	1773	5679
238	1780	5669
239	1787	5661
240	1794	5652
241	1801	5643
242	1808	5634
243	1816	5627
244	1823	5619
245	1830	5609
246	1837	5600
247	1844	5591
248	1851	5584
249	1858	5576
250	1865	5566
251	1872	5558
252	1879	5550
253	1886	5541
254	1894	5533
255	1901	5524
256	1908	5516
257	1915	5508
258	1922	5500
259	1930	5493
260	1937	5485
261	1944	5477
262	1951	5469
263	1959	5461
264	1965	5451
265	1972	5443
266	1979	5433
267	1986	5424
268	1993	5416
269	2000	5407
